nm, A
800.000000, -0.001317
799.000000, -0.000535
798.000000, -0.000422
797.000000, -0.000729
796.000000, -0.000153
795.000000, -0.000184
794.000000, -0.000035
793.000000, 0.000094
792.000000, -0.000548
791.000000, -0.000352
790.000000, -0.000135
789.000000, -0.000014
788.000000, -0.000169
787.000000, -0.000241
786.000000, -0.000131
785.000000, 0.000042
784.000000, -0.000119
783.000000, -0.000002
782.000000, 0.000062
781.000000, 0.000077
780.000000, -0.000117
779.000000, 0.000054
778.000000, 0.000296
777.000000, 0.000042
776.000000, 0.000356
775.000000, 0.000207
774.000000, -0.000043
773.000000, -0.000205
772.000000, 0.000160
771.000000, 0.000159
770.000000, -0.000038
769.000000, 0.000165
768.000000, 0.000051
767.000000, -0.000062
766.000000, 0.000440
765.000000, 0.000233
764.000000, 0.000067
763.000000, -0.000109
762.000000, -0.000093
761.000000, -0.000377
760.000000, 0.000195
759.000000, 0.000264
758.000000, 0.000286
757.000000, 0.000119
756.000000, -0.000038
755.000000, 0.000146
754.000000, 0.000287
753.000000, 0.000129
752.000000, -0.000135
751.000000, -0.000146
750.000000, -0.000057
749.000000, -0.000086
748.000000, 0.000235
747.000000, 0.000081
746.000000, 0.000117
745.000000, 0.000105
744.000000, 0.000159
743.000000, 0.000385
742.000000, 0.000294
741.000000, -0.000013
740.000000, 0.000172
739.000000, 0.000304
738.000000, 0.000129
737.000000, 0.000276
736.000000, 0.000310
735.000000, 0.000182
734.000000, 0.000229
733.000000, 0.000260
732.000000, 0.000216
731.000000, 0.000113
730.000000, 0.000164
729.000000, 0.000230
728.000000, 0.000174
727.000000, -0.000008
726.000000, 0.000256
725.000000, 0.000359
724.000000, 0.000201
723.000000, -0.000130
722.000000, -0.000146
721.000000, 0.000109
720.000000, 0.000129
719.000000, 0.000153
718.000000, 0.000125
717.000000, 0.000143
716.000000, 0.000245
715.000000, 0.000107
714.000000, -0.000121
713.000000, 0.000042
712.000000, 0.000250
711.000000, 0.000187
710.000000, 0.000206
709.000000, 0.000188
708.000000, 0.000048
707.000000, -0.000032
706.000000, 0.000038
705.000000, 0.000199
704.000000, 0.000303
703.000000, 0.000234
702.000000, 0.000202
701.000000, 0.000334
700.000000, 0.000385
699.000000, 0.000216
698.000000, 0.000371
697.000000, 0.000305
696.000000, 0.000040
695.000000, 0.000249
694.000000, 0.000367
693.000000, 0.000288
692.000000, 0.000272
691.000000, 0.000237
690.000000, 0.000212
689.000000, 0.000254
688.000000, 0.000286
687.000000, 0.000218
686.000000, 0.000137
685.000000, 0.000236
684.000000, 0.000356
683.000000, 0.000541
682.000000, 0.000346
681.000000, 0.000267
680.000000, 0.000383
679.000000, 0.000378
678.000000, 0.000350
677.000000, 0.000398
676.000000, 0.000486
675.000000, 0.000449
674.000000, 0.000244
673.000000, 0.000221
672.000000, 0.000236
671.000000, 0.000307
670.000000, 0.000275
669.000000, 0.000184
668.000000, 0.000304
667.000000, 0.000369
666.000000, 0.000399
665.000000, 0.000453
664.000000, 0.000448
663.000000, 0.000328
662.000000, 0.000483
661.000000, 0.000600
660.000000, 0.000536
659.000000, 0.000415
658.000000, 0.000527
657.000000, 0.000588
656.000000, 0.000589
655.000000, 0.000531
654.000000, 0.000537
653.000000, 0.000591
652.000000, 0.000361
651.000000, 0.000343
650.000000, 0.000374
649.000000, 0.000423
648.000000, 0.000160
647.000000, 0.000250
646.000000, 0.000317
645.000000, 0.000399
644.000000, 0.000266
643.000000, 0.000425
642.000000, 0.000522
641.000000, 0.000510
640.000000, 0.000618
639.000000, 0.000566
638.000000, 0.000381
637.000000, 0.000341
636.000000, 0.000274
635.000000, 0.000355
634.000000, 0.000290
633.000000, 0.000257
632.000000, 0.000279
631.000000, 0.000279
630.000000, 0.000187
629.000000, 0.000159
628.000000, 0.000092
627.000000, 0.000162
626.000000, 0.000283
625.000000, 0.000157
624.000000, 0.000338
623.000000, 0.000383
622.000000, 0.000273
621.000000, 0.000281
620.000000, 0.000452
619.000000, 0.000508
618.000000, 0.000201
617.000000, 0.000295
616.000000, 0.000101
615.000000, 0.000168
614.000000, 0.000297
613.000000, 0.000406
612.000000, 0.000380
611.000000, 0.000495
610.000000, 0.000152
609.000000, 0.000564
608.000000, 0.000606
607.000000, 0.000658
606.000000, 0.000602
605.000000, 0.000686
604.000000, 0.000812
603.000000, 0.000886
602.000000, 0.000848
601.000000, 0.001032
600.000000, 0.001103
599.000000, 0.001381
598.000000, 0.001434
597.000000, 0.001631
596.000000, 0.002148
595.000000, 0.002446
594.000000, 0.002835
593.000000, 0.002976
592.000000, 0.003444
591.000000, 0.003872
590.000000, 0.004606
589.000000, 0.005189
