nm, A
800.000000, -0.097389
799.000000, -0.097757
798.000000, -0.098013
797.000000, -0.097831
796.000000, -0.097833
795.000000, -0.098189
794.000000, -0.098024
793.000000, -0.098147
792.000000, -0.097933
791.000000, -0.097341
790.000000, -0.097321
789.000000, -0.097347
788.000000, -0.096909
787.000000, -0.096607
786.000000, -0.096600
785.000000, -0.096696
784.000000, -0.096248
783.000000, -0.095996
782.000000, -0.095894
781.000000, -0.095804
780.000000, -0.095299
779.000000, -0.095091
778.000000, -0.094759
777.000000, -0.094689
776.000000, -0.094457
775.000000, -0.094142
774.000000, -0.093752
773.000000, -0.093235
772.000000, -0.093063
771.000000, -0.092847
770.000000, -0.092580
769.000000, -0.092303
768.000000, -0.091666
767.000000, -0.091589
766.000000, -0.091394
765.000000, -0.090862
764.000000, -0.090643
763.000000, -0.090240
762.000000, -0.089786
761.000000, -0.089149
760.000000, -0.089078
759.000000, -0.088664
758.000000, -0.088414
757.000000, -0.087901
756.000000, -0.087417
755.000000, -0.087184
754.000000, -0.086826
753.000000, -0.086368
752.000000, -0.085734
751.000000, -0.085420
750.000000, -0.085127
749.000000, -0.084565
748.000000, -0.084312
747.000000, -0.083875
746.000000, -0.083550
745.000000, -0.083049
744.000000, -0.082685
743.000000, -0.082426
742.000000, -0.082039
741.000000, -0.081535
740.000000, -0.081219
739.000000, -0.080760
738.000000, -0.080145
737.000000, -0.079709
736.000000, -0.079236
735.000000, -0.078924
734.000000, -0.078527
733.000000, -0.078172
732.000000, -0.077712
731.000000, -0.077114
730.000000, -0.076885
729.000000, -0.076654
728.000000, -0.076235
727.000000, -0.075761
726.000000, -0.075394
725.000000, -0.074996
724.000000, -0.074410
723.000000, -0.073743
722.000000, -0.073303
721.000000, -0.073137
720.000000, -0.072739
719.000000, -0.072297
718.000000, -0.071980
717.000000, -0.071729
716.000000, -0.071428
715.000000, -0.070944
714.000000, -0.070428
713.000000, -0.070040
712.000000, -0.069662
711.000000, -0.069222
710.000000, -0.068852
709.000000, -0.068494
708.000000, -0.068090
707.000000, -0.067684
706.000000, -0.067439
705.000000, -0.067262
704.000000, -0.066936
703.000000, -0.066504
702.000000, -0.066061
701.000000, -0.065690
700.000000, -0.065344
699.000000, -0.064863
698.000000, -0.064522
697.000000, -0.064133
696.000000, -0.063700
695.000000, -0.063515
694.000000, -0.063328
693.000000, -0.063000
692.000000, -0.062681
691.000000, -0.062361
690.000000, -0.061876
689.000000, -0.061420
688.000000, -0.061119
687.000000, -0.060654
686.000000, -0.060365
685.000000, -0.060260
684.000000, -0.060038
683.000000, -0.059871
682.000000, -0.059403
681.000000, -0.058962
680.000000, -0.058800
679.000000, -0.058431
678.000000, -0.058071
677.000000, -0.057758
676.000000, -0.057517
675.000000, -0.057179
674.000000, -0.056938
673.000000, -0.056703
672.000000, -0.056397
671.000000, -0.056190
670.000000, -0.055880
669.000000, -0.055342
668.000000, -0.055073
667.000000, -0.054917
666.000000, -0.054689
665.000000, -0.054504
664.000000, -0.054190
663.000000, -0.053793
662.000000, -0.053684
661.000000, -0.053534
660.000000, -0.053213
659.000000, -0.052827
658.000000, -0.052570
657.000000, -0.052256
656.000000, -0.052100
655.000000, -0.051811
654.000000, -0.051594
653.000000, -0.051467
652.000000, -0.051141
651.000000, -0.050808
650.000000, -0.050679
649.000000, -0.050406
648.000000, -0.050032
647.000000, -0.049831
646.000000, -0.049652
645.000000, -0.049367
644.000000, -0.049208
643.000000, -0.049208
642.000000, -0.049034
641.000000, -0.048819
640.000000, -0.048575
639.000000, -0.048129
638.000000, -0.047934
637.000000, -0.047666
636.000000, -0.047427
635.000000, -0.047391
634.000000, -0.047256
633.000000, -0.046820
632.000000, -0.046722
631.000000, -0.046633
630.000000, -0.046384
629.000000, -0.046167
628.000000, -0.045866
627.000000, -0.045671
626.000000, -0.045784
625.000000, -0.045640
624.000000, -0.045517
623.000000, -0.045373
622.000000, -0.045119
621.000000, -0.044742
620.000000, -0.044778
619.000000, -0.044717
618.000000, -0.044369
617.000000, -0.044304
616.000000, -0.044318
615.000000, -0.044124
614.000000, -0.044104
613.000000, -0.043893
612.000000, -0.043670
611.000000, -0.043399
610.000000, -0.043328
609.000000, -0.043271
608.000000, -0.043285
607.000000, -0.043360
606.000000, -0.043359
605.000000, -0.043276
604.000000, -0.042983
603.000000, -0.042740
602.000000, -0.042696
601.000000, -0.042449
600.000000, -0.042262
599.000000, -0.042212
598.000000, -0.042194
597.000000, -0.042010
596.000000, -0.042133
595.000000, -0.041944
594.000000, -0.041762
593.000000, -0.041354
592.000000, -0.041250
591.000000, -0.040928
590.000000, -0.040966
589.000000, -0.040738
588.000000, -0.040648
587.000000, -0.040387
586.000000, -0.039992
585.000000, -0.039596
584.000000, -0.039611
583.000000, -0.039415
582.000000, -0.039095
581.000000, -0.038803
580.000000, -0.038544
579.000000, -0.038247
578.000000, -0.038167
577.000000, -0.038144
576.000000, -0.038155
575.000000, -0.037926
574.000000, -0.037617
573.000000, -0.037235
572.000000, -0.036999
571.000000, -0.036830
570.000000, -0.036445
569.000000, -0.036135
568.000000, -0.035926
567.000000, -0.035861
566.000000, -0.035924
565.000000, -0.035703
564.000000, -0.035374
563.000000, -0.035190
562.000000, -0.035237
561.000000, -0.035395
560.000000, -0.035561
559.000000, -0.035526
558.000000, -0.035387
557.000000, -0.035196
556.000000, -0.035156
555.000000, -0.034958
554.000000, -0.034967
553.000000, -0.034873
552.000000, -0.034753
551.000000, -0.034521
550.000000, -0.034570
549.000000, -0.034489
548.000000, -0.034204
547.000000, -0.034128
546.000000, -0.034268
545.000000, -0.034190
544.000000, -0.034069
543.000000, -0.034016
542.000000, -0.033855
541.000000, -0.033648
540.000000, -0.033634
539.000000, -0.033614
538.000000, -0.033462
537.000000, -0.033164
536.000000, -0.032888
535.000000, -0.032663
534.000000, -0.032595
533.000000, -0.032598
532.000000, -0.032474
531.000000, -0.032237
530.000000, -0.031950
529.000000, -0.031822
528.000000, -0.031823
527.000000, -0.031695
526.000000, -0.031552
525.000000, -0.031463
524.000000, -0.031286
523.000000, -0.031065
522.000000, -0.030902
521.000000, -0.030866
520.000000, -0.030913
519.000000, -0.030816
518.000000, -0.030549
517.000000, -0.030448
516.000000, -0.030476
515.000000, -0.030384
514.000000, -0.030339
513.000000, -0.030349
512.000000, -0.030200
511.000000, -0.030081
510.000000, -0.030068
509.000000, -0.030093
508.000000, -0.030185
507.000000, -0.030177
506.000000, -0.030066
505.000000, -0.030063
504.000000, -0.030101
503.000000, -0.030077
502.000000, -0.030147
501.000000, -0.030231
500.000000, -0.030050
499.000000, -0.030090
498.000000, -0.030190
497.000000, -0.030179
496.000000, -0.030313
495.000000, -0.030269
494.000000, -0.030131
493.000000, -0.030220
492.000000, -0.030401
491.000000, -0.030528
490.000000, -0.030564
489.000000, -0.030613
488.000000, -0.030591
487.000000, -0.030661
486.000000, -0.030821
485.000000, -0.030976
484.000000, -0.031123
483.000000, -0.031202
482.000000, -0.031055
481.000000, -0.030838
480.000000, -0.030621
479.000000, -0.030385
478.000000, -0.029948
477.000000, -0.029738
476.000000, -0.029535
475.000000, -0.029469
474.000000, -0.029380
473.000000, -0.029149
472.000000, -0.029031
471.000000, -0.028923
470.000000, -0.028771
469.000000, -0.028772
468.000000, -0.028635
467.000000, -0.028429
466.000000, -0.028344
465.000000, -0.028331
464.000000, -0.028232
463.000000, -0.028083
462.000000, -0.027969
461.000000, -0.027953
460.000000, -0.028089
459.000000, -0.027980
458.000000, -0.027885
457.000000, -0.027871
456.000000, -0.027859
455.000000, -0.027717
454.000000, -0.027763
453.000000, -0.027652
452.000000, -0.027589
451.000000, -0.027883
450.000000, -0.027830
449.000000, -0.027726
448.000000, -0.027827
447.000000, -0.027812
446.000000, -0.027793
445.000000, -0.027994
444.000000, -0.028226
443.000000, -0.028131
442.000000, -0.028084
441.000000, -0.028140
440.000000, -0.027942
439.000000, -0.028024
438.000000, -0.027956
437.000000, -0.027985
436.000000, -0.028010
435.000000, -0.027939
434.000000, -0.027620
433.000000, -0.027598
432.000000, -0.027498
431.000000, -0.027519
430.000000, -0.027410
429.000000, -0.027526
428.000000, -0.027419
427.000000, -0.027376
426.000000, -0.027338
425.000000, -0.027381
424.000000, -0.027249
423.000000, -0.027177
422.000000, -0.026949
421.000000, -0.027047
420.000000, -0.027035
419.000000, -0.026926
418.000000, -0.027104
417.000000, -0.027082
416.000000, -0.026867
415.000000, -0.026943
414.000000, -0.026889
413.000000, -0.026901
412.000000, -0.026786
411.000000, -0.026761
410.000000, -0.026581
409.000000, -0.026862
408.000000, -0.026775
407.000000, -0.026683
406.000000, -0.026746
405.000000, -0.026817
404.000000, -0.026649
403.000000, -0.026583
402.000000, -0.026629
401.000000, -0.026637
400.000000, -0.026606
399.000000, -0.026579
398.000000, -0.026452
397.000000, -0.026553
396.000000, -0.026504
395.000000, -0.026607
394.000000, -0.026546
393.000000, -0.026560
392.000000, -0.026473
391.000000, -0.026431
390.000000, -0.026353
389.000000, -0.026385
388.000000, -0.026296
387.000000, -0.026195
386.000000, -0.025952
385.000000, -0.026152
384.000000, -0.026320
383.000000, -0.026149
382.000000, -0.026041
381.000000, -0.026005
380.000000, -0.025923
379.000000, -0.025900
378.000000, -0.026201
377.000000, -0.026938
376.000000, -0.026378
375.000000, -0.025867
374.000000, -0.026011
373.000000, -0.025965
372.000000, -0.025765
371.000000, -0.025668
370.000000, -0.025676
369.000000, -0.025856
368.000000, -0.025846
367.000000, -0.025715
366.000000, -0.025602
365.000000, -0.025634
364.000000, -0.025548
363.000000, -0.025540
362.000000, -0.025586
361.000000, -0.025500
360.000000, -0.025384
359.000000, -0.025350
358.000000, -0.025229
357.000000, -0.025242
356.000000, -0.025008
355.000000, -0.024998
354.000000, -0.024960
353.000000, -0.024962
352.000000, -0.024786
351.000000, -0.024697
350.000000, -0.024528
349.000000, -0.024434
348.000000, -0.024464
347.000000, -0.024278
346.000000, -0.024054
345.000000, -0.023938
344.000000, -0.023932
343.000000, -0.023917
342.000000, -0.023734
341.000000, -0.023567
340.000000, -0.023490
339.000000, -0.023406
338.000000, -0.023294
337.000000, -0.023251
336.000000, -0.023101
335.000000, -0.022869
334.000000, -0.022693
333.000000, -0.022707
332.000000, -0.022741
331.000000, -0.022628
330.000000, -0.022485
329.000000, -0.022346
328.000000, -0.022175
327.000000, -0.022198
326.000000, -0.022167
325.000000, -0.021965
324.000000, -0.021984
323.000000, -0.022007
322.000000, -0.021941
321.000000, -0.021898
320.000000, -0.021754
319.000000, -0.021754
318.000000, -0.013201
317.000000, -0.006425
316.000000, -0.006295
315.000000, -0.006157
314.000000, -0.006196
313.000000, -0.006195
312.000000, -0.006048
311.000000, -0.005744
310.000000, -0.005489
309.000000, -0.005467
308.000000, -0.005165
307.000000, -0.004932
306.000000, -0.004770
305.000000, -0.004535
304.000000, -0.004290
303.000000, -0.004318
302.000000, -0.004232
301.000000, -0.004094
300.000000, -0.003904
299.000000, -0.003626
298.000000, -0.003415
297.000000, -0.003567
296.000000, -0.003567
295.000000, -0.003399
294.000000, -0.003279
293.000000, -0.003173
292.000000, -0.003004
291.000000, -0.003020
290.000000, -0.003202
289.000000, -0.003199
288.000000, -0.003217
287.000000, -0.003180
286.000000, -0.002881
285.000000, -0.002881
284.000000, -0.003060
283.000000, -0.003104
282.000000, -0.003212
281.000000, -0.003138
280.000000, -0.003141
279.000000, -0.003368
278.000000, -0.003472
277.000000, -0.003495
276.000000, -0.003337
275.000000, -0.003507
274.000000, -0.003564
273.000000, -0.003676
272.000000, -0.003792
271.000000, -0.003803
270.000000, -0.003960
269.000000, -0.003920
268.000000, -0.003829
267.000000, -0.003753
266.000000, -0.003883
265.000000, -0.003905
264.000000, -0.003841
263.000000, -0.003631
262.000000, -0.003515
261.000000, -0.003350
260.000000, -0.003109
259.000000, -0.002744
258.000000, -0.002566
257.000000, -0.002302
256.000000, -0.001679
255.000000, -0.001436
254.000000, -0.001191
253.000000, -0.000745
252.000000, -0.000445
251.000000, -0.000007
250.000000, 0.000555
