nm, A
800.000000, -0.000843
799.000000, -0.000888
798.000000, -0.000357
797.000000, -0.000342
796.000000, -0.000619
795.000000, -0.000301
794.000000, -0.000324
793.000000, -0.000115
792.000000, -0.000195
791.000000, -0.000153
790.000000, -0.000167
789.000000, -0.000164
788.000000, -0.000163
787.000000, -0.000054
786.000000, -0.000150
785.000000, 0.000139
784.000000, 0.000005
783.000000, -0.000491
782.000000, -0.000029
781.000000, 0.000124
780.000000, -0.000269
779.000000, 0.000106
778.000000, -0.000369
777.000000, -0.000054
776.000000, 0.000159
775.000000, 0.000035
774.000000, -0.000121
773.000000, -0.000025
772.000000, 0.000046
771.000000, 0.000086
770.000000, 0.000265
769.000000, 0.000178
768.000000, -0.000257
767.000000, 0.000011
766.000000, 0.000151
765.000000, -0.000046
764.000000, 0.000079
763.000000, 0.000132
762.000000, 0.000028
761.000000, -0.000044
760.000000, 0.000280
759.000000, 0.000300
758.000000, 0.000439
757.000000, 0.000205
756.000000, 0.000222
755.000000, 0.000360
754.000000, 0.000088
753.000000, 0.000236
752.000000, -0.000101
751.000000, -0.000051
750.000000, 0.000198
749.000000, 0.000238
748.000000, 0.000292
747.000000, 0.000055
746.000000, 0.000112
745.000000, 0.000170
744.000000, 0.000350
743.000000, 0.000619
742.000000, 0.000463
741.000000, 0.000341
740.000000, 0.000450
739.000000, 0.000426
738.000000, 0.000367
737.000000, 0.000359
736.000000, 0.000131
735.000000, 0.000355
734.000000, 0.000306
733.000000, 0.000311
732.000000, 0.015239
731.000000, 0.026138
730.000000, 0.000295
729.000000, 0.000430
728.000000, 0.000542
727.000000, 0.000545
726.000000, 0.000461
725.000000, 0.000436
724.000000, 0.000318
723.000000, -0.000010
722.000000, -0.000178
721.000000, 0.000128
720.000000, 0.000241
719.000000, 0.000217
718.000000, 0.000162
717.000000, 0.000224
716.000000, 0.000317
715.000000, 0.000331
714.000000, 0.000350
713.000000, 0.000520
712.000000, 0.000510
711.000000, 0.000386
710.000000, 0.000364
709.000000, 0.000448
708.000000, 0.000421
707.000000, 0.000313
706.000000, 0.000325
705.000000, 0.000541
704.000000, 0.000615
703.000000, 0.000489
702.000000, 0.000552
701.000000, 0.000578
700.000000, 0.000486
699.000000, 0.000421
698.000000, 0.000534
697.000000, 0.000514
696.000000, 0.000442
695.000000, 0.000554
694.000000, 0.000568
693.000000, 0.000507
692.000000, 0.000486
691.000000, 0.000620
690.000000, 0.000690
689.000000, 0.000607
688.000000, 0.000510
687.000000, 0.000415
686.000000, 0.000451
685.000000, 0.000675
684.000000, 0.000700
683.000000, 0.000740
682.000000, 0.000672
681.000000, 0.000700
680.000000, 0.000756
679.000000, 0.000656
678.000000, 0.000797
677.000000, 0.000775
676.000000, 0.000699
675.000000, 0.000853
674.000000, 0.000863
673.000000, 0.000801
672.000000, 0.000693
671.000000, 0.000729
670.000000, 0.000725
669.000000, 0.000526
668.000000, 0.000499
667.000000, 0.000699
666.000000, 0.000706
665.000000, 0.000736
664.000000, 0.000698
663.000000, 0.000660
662.000000, 0.000734
661.000000, 0.000872
660.000000, 0.000853
659.000000, 0.000678
658.000000, 0.000624
657.000000, 0.000699
656.000000, 0.000723
655.000000, 0.000796
654.000000, 0.000728
653.000000, 0.000795
652.000000, 0.000729
651.000000, 0.000660
650.000000, 0.000600
649.000000, 0.000689
648.000000, 0.000558
647.000000, 0.000769
646.000000, 0.000735
645.000000, 0.000581
644.000000, 0.000689
643.000000, 0.000751
642.000000, 0.000859
641.000000, 0.000788
640.000000, 0.000786
639.000000, 0.000872
638.000000, 0.000788
637.000000, 0.000685
636.000000, 0.000517
635.000000, 0.000718
634.000000, 0.000698
