nm, A
800.000000, -0.001440
799.000000, -0.000371
798.000000, -0.000554
797.000000, -0.000851
796.000000, -0.000364
795.000000, -0.000342
794.000000, -0.000484
793.000000, 0.000253
792.000000, -0.000326
791.000000, -0.000687
790.000000, -0.000367
789.000000, -0.000099
788.000000, -0.000347
787.000000, -0.000347
786.000000, -0.000229
785.000000, 0.000015
784.000000, -0.000325
783.000000, -0.000420
782.000000, -0.000147
781.000000, -0.000078
780.000000, -0.000528
779.000000, -0.000122
778.000000, -0.000464
777.000000, -0.000248
776.000000, -0.000042
775.000000, -0.000170
774.000000, -0.000072
773.000000, 0.000017
772.000000, 0.000065
771.000000, -0.000059
770.000000, 0.000008
769.000000, -0.000142
768.000000, -0.000616
767.000000, -0.000056
766.000000, -0.000085
765.000000, -0.000260
764.000000, -0.000073
763.000000, -0.000287
762.000000, -0.000012
761.000000, -0.000120
760.000000, 0.000075
759.000000, 0.000207
758.000000, 0.000171
757.000000, -0.000092
756.000000, -0.000327
755.000000, -0.000269
754.000000, -0.000122
753.000000, -0.000015
752.000000, -0.000269
751.000000, -0.000249
750.000000, -0.000053
749.000000, -0.000063
748.000000, -0.000104
747.000000, 0.000016
746.000000, 0.000035
745.000000, -0.000080
744.000000, 0.000200
743.000000, 0.000134
742.000000, -0.000067
741.000000, -0.000166
740.000000, 0.000053
739.000000, 0.000255
738.000000, -0.000102
737.000000, -0.000171
736.000000, -0.000150
735.000000, -0.000030
734.000000, 0.000062
733.000000, 0.000030
732.000000, 0.000077
731.000000, -0.000039
730.000000, 0.000016
729.000000, 0.000207
728.000000, 0.000129
727.000000, 0.000119
726.000000, 0.000230
725.000000, 0.000287
724.000000, 0.000078
723.000000, -0.000119
722.000000, -0.000060
721.000000, 0.000049
720.000000, 0.000067
719.000000, 0.000041
718.000000, 0.000043
717.000000, 0.000160
716.000000, 0.000165
715.000000, 0.000042
714.000000, 0.000081
713.000000, 0.000240
712.000000, 0.000173
711.000000, 0.000006
710.000000, 0.000072
709.000000, 0.000216
708.000000, 0.000189
707.000000, 0.000016
706.000000, 0.000113
705.000000, 0.000306
704.000000, 0.000401
703.000000, 0.000417
702.000000, 0.000445
701.000000, 0.000439
700.000000, 0.000425
699.000000, 0.000433
698.000000, 0.000505
697.000000, 0.000442
696.000000, 0.000319
695.000000, 0.000362
694.000000, 0.000484
693.000000, 0.000472
692.000000, 0.000492
691.000000, 0.000520
690.000000, 0.000339
689.000000, 0.000353
688.000000, 0.000407
687.000000, 0.000349
686.000000, 0.000422
685.000000, 0.000464
684.000000, 0.000498
683.000000, 0.000703
682.000000, 0.000587
681.000000, 0.000494
680.000000, 0.000615
