nm, A
800.000000, -0.001213
799.000000, -0.000457
798.000000, -0.000212
797.000000, -0.000614
796.000000, -0.000514
795.000000, -0.000080
794.000000, -0.000212
793.000000, -0.000036
792.000000, -0.000097
791.000000, -0.000786
790.000000, -0.000380
789.000000, 0.000077
788.000000, -0.000403
787.000000, -0.000357
786.000000, 0.000039
785.000000, 0.000136
784.000000, -0.000118
783.000000, -0.000469
782.000000, -0.000152
781.000000, -0.000006
780.000000, -0.000035
779.000000, -0.000088
778.000000, -0.000401
777.000000, 0.000114
776.000000, 0.000059
775.000000, -0.000030
774.000000, 0.000284
773.000000, -0.000031
772.000000, 0.000138
771.000000, 0.000060
770.000000, 0.000152
769.000000, 0.000182
768.000000, -0.000095
767.000000, 0.000198
766.000000, 0.000209
765.000000, -0.000077
764.000000, -0.000194
763.000000, 0.000149
762.000000, 0.000072
761.000000, -0.000256
760.000000, 0.000047
759.000000, -0.000063
758.000000, 0.000160
757.000000, 0.000166
756.000000, -0.000042
755.000000, 0.000192
754.000000, 0.000220
753.000000, 0.000164
752.000000, -0.000256
751.000000, -0.000106
750.000000, 0.000021
749.000000, -0.000090
748.000000, 0.000135
747.000000, 0.000289
746.000000, 0.000384
745.000000, 0.000152
744.000000, 0.000205
743.000000, 0.000301
742.000000, 0.000284
741.000000, 0.000150
740.000000, 0.000340
739.000000, 0.000339
738.000000, 0.000174
737.000000, 0.000259
736.000000, 0.000161
735.000000, 0.000215
734.000000, 0.000193
733.000000, 0.000416
732.000000, 0.000345
731.000000, 0.000230
730.000000, 0.000314
729.000000, 0.000302
728.000000, 0.000274
727.000000, 0.000401
726.000000, 0.000370
725.000000, 0.000354
724.000000, 0.000213
723.000000, -0.000009
722.000000, 0.000056
721.000000, 0.000365
720.000000, 0.000324
719.000000, 0.000277
718.000000, 0.000369
717.000000, 0.000453
716.000000, 0.000345
715.000000, 0.000194
714.000000, 0.000262
713.000000, 0.000317
712.000000, 0.000320
711.000000, 0.000250
710.000000, 0.000202
709.000000, 0.000227
708.000000, 0.000358
707.000000, 0.000278
706.000000, 0.000230
705.000000, 0.000392
704.000000, 0.000438
703.000000, 0.000417
702.000000, 0.000554
701.000000, 0.000510
700.000000, 0.000428
699.000000, 0.000410
698.000000, 0.000464
697.000000, 0.000405
696.000000, 0.000273
695.000000, 0.000342
694.000000, 0.000463
693.000000, 0.000471
692.000000, 0.000477
691.000000, 0.000616
690.000000, 0.000565
689.000000, 0.000458
688.000000, 0.000499
687.000000, 0.000414
686.000000, 0.000352
685.000000, 0.000590
684.000000, 0.000709
683.000000, 0.000739
682.000000, 0.000594
681.000000, 0.000554
680.000000, 0.000678
679.000000, 0.000552
678.000000, 0.000550
677.000000, 0.000655
676.000000, 0.000715
675.000000, 0.000727
674.000000, 0.000754
673.000000, 0.000754
672.000000, 0.000731
671.000000, 0.000705
670.000000, 0.000746
669.000000, 0.000612
668.000000, 0.000637
667.000000, 0.000731
666.000000, 0.000753
665.000000, 0.000868
664.000000, 0.000714
663.000000, 0.000618
662.000000, 0.000779
661.000000, 0.000825
660.000000, 0.000775
659.000000, 0.000664
658.000000, 0.000682
657.000000, 0.000801
656.000000, 0.000763
655.000000, 0.000716
654.000000, 0.000752
653.000000, 0.000668
652.000000, 0.000566
651.000000, 0.000654
650.000000, 0.000633
649.000000, 0.000721
648.000000, 0.000549
647.000000, 0.000515
